Contract,tenure,InternetService,OnlineSecurity,TechSupport,MonthlyCharges,PaymentMethod,PaperlessBilling,Churn
Two year,72,DSL,Yes,Yes,78.85,Bank transfer (automatic),No,No
Month-to-month,4,DSL,No,No,55.3,Mailed check,Yes,No
Two year,52,No,No internet service,No internet service,19.35,Mailed check,No,No
One year,2,No,No internet service,No internet service,20.45,Mailed check,No,No
Two year,65,No,No internet service,No internet service,19.35,Bank transfer (automatic),No,No
Month-to-month,43,Fiber optic,No,No,101.0,Electronic check,Yes,Yes
Month-to-month,4,Fiber optic,No,No,100.2,Electronic check,Yes,Yes
One year,25,Fiber optic,Yes,No,89.05,Electronic check,Yes,Yes
One year,51,DSL,No,Yes,78.65,Credit card (automatic),Yes,No
Month-to-month,12,DSL,No,No,74.75,Bank transfer (automatic),No,No
One year,57,DSL,Yes,No,70.1,Bank transfer (automatic),Yes,Yes
One year,24,No,No internet service,No internet service,19.9,Mailed check,No,No
One year,64,DSL,No,Yes,58.35,Bank transfer (automatic),No,No
One year,4,Fiber optic,No,Yes,105.65,Electronic check,Yes,Yes
Month-to-month,26,Fiber optic,No,No,100.5,Bank transfer (automatic),Yes,No
Month-to-month,15,No,No internet service,No internet service,20.05,Mailed check,No,No
Two year,64,No,No internet service,No internet service,25.65,Credit card (automatic),No,No
Month-to-month,36,Fiber optic,No,No,96.5,Electronic check,Yes,Yes
Month-to-month,27,Fiber optic,No,No,95.0,Credit card (automatic),No,No
Month-to-month,1,Fiber optic,No,No,70.85,Mailed check,No,Yes
One year,35,DSL,Yes,Yes,85.95,Credit card (automatic),Yes,Yes
Month-to-month,4,Fiber optic,No,No,73.9,Electronic check,Yes,Yes
Month-to-month,8,DSL,No,No,45.45,Electronic check,Yes,No
Month-to-month,10,No,No internet service,No internet service,20.0,Credit card (automatic),Yes,No
Month-to-month,2,DSL,No,No,49.2,Mailed check,No,No
Two year,58,Fiber optic,Yes,No,109.45,Bank transfer (automatic),Yes,Yes
Two year,51,DSL,Yes,Yes,83.25,Credit card (automatic),Yes,No
Two year,46,No,No internet service,No internet service,19.25,Mailed check,Yes,No
Month-to-month,1,No,No internet service,No internet service,19.65,Bank transfer (automatic),Yes,No
Month-to-month,46,Fiber optic,No,No,72.8,Bank transfer (automatic),No,No
Month-to-month,50,Fiber optic,Yes,Yes,109.65,Bank transfer (automatic),Yes,No
Month-to-month,53,DSL,No,Yes,65.0,Credit card (automatic),No,No
Month-to-month,61,Fiber optic,No,Yes,114.1,Electronic check,Yes,No
Month-to-month,5,No,No internet service,No internet service,20.65,Bank transfer (automatic),No,No
One year,47,DSL,Yes,Yes,86.95,Bank transfer (automatic),Yes,No
One year,54,Fiber optic,No,No,94.75,Bank transfer (automatic),Yes,No
Month-to-month,19,DSL,No,No,25.35,Credit card (automatic),Yes,No
Two year,26,Fiber optic,No,Yes,105.45,Electronic check,Yes,No
Two year,70,No,No internet service,No internet service,25.4,Mailed check,No,No
Month-to-month,17,Fiber optic,No,No,102.55,Electronic check,Yes,No
Month-to-month,30,Fiber optic,No,No,100.2,Electronic check,Yes,Yes
Month-to-month,1,No,No internet service,No internet service,24.0,Mailed check,No,No
Two year,19,No,No internet service,No internet service,25.6,Mailed check,No,No
Two year,26,DSL,No,No,73.5,Credit card (automatic),Yes,No
Month-to-month,21,Fiber optic,No,No,74.05,Bank transfer (automatic),Yes,Yes
One year,50,Fiber optic,No,No,98.25,Electronic check,Yes,No
One year,68,DSL,Yes,No,54.4,Electronic check,Yes,No
Month-to-month,3,Fiber optic,No,No,101.55,Bank transfer (automatic),Yes,Yes
Month-to-month,9,Fiber optic,No,Yes,103.1,Electronic check,No,No
Two year,51,DSL,Yes,Yes,34.2,Bank transfer (automatic),No,No
Month-to-month,9,DSL,No,No,43.75,Electronic check,Yes,No
One year,41,Fiber optic,No,Yes,111.95,Electronic check,Yes,Yes
Month-to-month,22,Fiber optic,No,No,100.65,Electronic check,Yes,No
One year,21,DSL,Yes,No,55.95,Electronic check,Yes,Yes
Two year,71,Fiber optic,Yes,Yes,116.05,Bank transfer (automatic),Yes,No
Month-to-month,1,DSL,No,No,45.75,Electronic check,No,Yes
One year,26,DSL,No,Yes,82.0,Credit card (automatic),Yes,No
Two year,71,DSL,Yes,Yes,65.15,Bank transfer (automatic),No,No
Month-to-month,4,DSL,No,No,44.8,Credit card (automatic),Yes,No
Month-to-month,12,Fiber optic,Yes,No,79.8,Electronic check,Yes,No
Month-to-month,18,Fiber optic,No,Yes,88.85,Electronic check,Yes,No
Month-to-month,3,Fiber optic,No,No,74.95,Electronic check,Yes,No
One year,72,Fiber optic,Yes,No,106.85,Bank transfer (automatic),Yes,No
Month-to-month,11,Fiber optic,No,No,74.95,Electronic check,No,Yes
Month-to-month,1,Fiber optic,No,No,80.15,Credit card (automatic),No,Yes
One year,13,No,No internet service,No internet service,19.3,Credit card (automatic),No,No
One year,72,Fiber optic,No,Yes,109.25,Electronic check,Yes,Yes
One year,42,DSL,Yes,No,56.1,Credit card (automatic),No,No
Month-to-month,17,No,No internet service,No internet service,19.7,Credit card (automatic),No,No
Month-to-month,7,DSL,No,No,51.3,Mailed check,Yes,No
Two year,68,Fiber optic,Yes,Yes,118.6,Mailed check,No,No
Two year,56,No,No internet service,No internet service,24.15,Bank transfer (automatic),No,No
One year,38,No,No internet service,No internet service,20.3,Mailed check,No,No
Two year,72,Fiber optic,Yes,Yes,115.5,Electronic check,Yes,No
One year,48,No,No internet service,No internet service,25.05,Credit card (automatic),No,No
Month-to-month,52,Fiber optic,Yes,No,109.1,Electronic check,Yes,No
One year,35,No,No internet service,No internet service,19.65,Mailed check,No,No
Two year,67,Fiber optic,No,Yes,111.3,Bank transfer (automatic),Yes,No
Month-to-month,1,DSL,Yes,No,29.9,Mailed check,No,No
Month-to-month,53,Fiber optic,No,Yes,80.6,Mailed check,Yes,No
Month-to-month,34,No,No internet service,No internet service,20.8,Mailed check,No,No
Month-to-month,3,DSL,No,No,35.2,Credit card (automatic),No,Yes
Month-to-month,1,Fiber optic,No,No,78.8,Electronic check,No,Yes
Month-to-month,19,Fiber optic,No,Yes,89.95,Mailed check,No,No
Two year,60,Fiber optic,Yes,Yes,116.05,Bank transfer (automatic),Yes,No
Two year,11,No,No internet service,No internet service,19.55,Credit card (automatic),No,No
Month-to-month,47,Fiber optic,No,No,106.4,Electronic check,Yes,Yes
Month-to-month,18,DSL,Yes,No,49.4,Electronic check,No,Yes
Two year,60,Fiber optic,Yes,Yes,115.25,Credit card (automatic),No,No
Two year,72,No,No internet service,No internet service,24.8,Credit card (automatic),No,No
One year,39,No,No internet service,No internet service,19.9,Mailed check,No,No
One year,59,Fiber optic,Yes,No,81.25,Credit card (automatic),Yes,No
Month-to-month,2,Fiber optic,No,No,69.95,Mailed check,No,No
Month-to-month,1,Fiber optic,No,No,69.1,Electronic check,No,Yes
Month-to-month,20,Fiber optic,No,No,90.2,Electronic check,Yes,Yes
Month-to-month,6,Fiber optic,No,No,93.55,Bank transfer (automatic),Yes,Yes
Two year,71,Fiber optic,No,Yes,86.4,Credit card (automatic),Yes,No
Month-to-month,24,DSL,Yes,No,66.3,Mailed check,No,No
Month-to-month,67,Fiber optic,No,No,94.65,Credit card (automatic),Yes,No
Month-to-month,1,Fiber optic,No,No,80.85,Mailed check,Yes,Yes
One year,48,Fiber optic,No,No,82.05,Mailed check,Yes,Yes
One year,37,DSL,No,Yes,72.1,Mailed check,No,No
Month-to-month,11,DSL,No,No,34.7,Mailed check,No,No
Month-to-month,3,No,No internet service,No internet service,20.55,Credit card (automatic),Yes,Yes
Month-to-month,18,Fiber optic,No,No,95.95,Credit card (automatic),Yes,No
One year,50,DSL,No,No,44.8,Bank transfer (automatic),Yes,No
One year,67,Fiber optic,Yes,Yes,109.4,Electronic check,Yes,No
Month-to-month,25,DSL,Yes,Yes,71.05,Mailed check,Yes,No
Month-to-month,2,Fiber optic,No,No,78.55,Electronic check,Yes,Yes
Month-to-month,9,No,No internet service,No internet service,19.7,Credit card (automatic),No,No
One year,10,DSL,Yes,Yes,40.25,Mailed check,No,No
Two year,70,No,No internet service,No internet service,19.85,Credit card (automatic),No,No
Month-to-month,9,DSL,Yes,Yes,68.25,Bank transfer (automatic),Yes,No
Month-to-month,4,No,No internet service,No internet service,20.15,Credit card (automatic),Yes,No
Month-to-month,2,DSL,Yes,No,50.95,Mailed check,No,No
Month-to-month,1,Fiber optic,No,No,78.65,Electronic check,No,Yes
Month-to-month,19,DSL,No,No,25.15,Bank transfer (automatic),Yes,No
Month-to-month,7,No,No internet service,No internet service,20.25,Bank transfer (automatic),Yes,No
Month-to-month,1,DSL,No,No,42.9,Electronic check,Yes,Yes
Month-to-month,1,DSL,No,No,44.0,Electronic check,No,No
One year,9,No,No internet service,No internet service,20.25,Mailed check,No,No
Month-to-month,3,DSL,Yes,Yes,34.25,Mailed check,No,Yes
Month-to-month,9,DSL,Yes,Yes,58.5,Mailed check,No,Yes
Month-to-month,5,DSL,Yes,No,55.8,Credit card (automatic),No,No
One year,56,Fiber optic,No,No,88.9,Bank transfer (automatic),No,No
Month-to-month,18,DSL,Yes,No,57.65,Mailed check,No,No
Month-to-month,49,Fiber optic,No,No,96.2,Electronic check,Yes,Yes
Two year,70,DSL,Yes,Yes,79.15,Mailed check,No,No
Two year,72,Fiber optic,No,Yes,108.05,Credit card (automatic),Yes,No
Month-to-month,6,Fiber optic,No,No,74.4,Electronic check,No,Yes
Month-to-month,17,Fiber optic,No,No,94.8,Electronic check,Yes,No
Month-to-month,29,DSL,No,No,45.9,Electronic check,Yes,No
Month-to-month,6,Fiber optic,No,No,105.3,Electronic check,Yes,Yes
Two year,63,Fiber optic,No,No,102.6,Electronic check,No,No
Month-to-month,16,Fiber optic,No,No,73.85,Bank transfer (automatic),Yes,Yes
One year,59,DSL,No,No,61.35,Bank transfer (automatic),Yes,No
Month-to-month,3,DSL,No,No,57.55,Electronic check,No,No
Month-to-month,8,DSL,No,No,29.25,Mailed check,Yes,No
Month-to-month,7,Fiber optic,No,No,84.55,Electronic check,Yes,Yes
Two year,68,No,No internet service,No internet service,19.6,Credit card (automatic),No,No
Two year,68,Fiber optic,Yes,Yes,111.75,Credit card (automatic),No,No
One year,52,Fiber optic,No,No,106.5,Electronic check,Yes,No
Two year,72,Fiber optic,Yes,Yes,107.7,Credit card (automatic),Yes,No
One year,32,No,No internet service,No internet service,19.3,Mailed check,No,No
Two year,72,No,No internet service,No internet service,20.05,Bank transfer (automatic),No,No
Month-to-month,1,Fiber optic,No,No,69.95,Credit card (automatic),Yes,No
One year,42,DSL,Yes,Yes,63.7,Credit card (automatic),No,No
Two year,25,No,No internet service,No internet service,24.75,Credit card (automatic),No,Yes
Month-to-month,45,DSL,Yes,No,50.9,Bank transfer (automatic),Yes,No
One year,43,DSL,Yes,Yes,60.4,Credit card (automatic),Yes,No
One year,37,DSL,Yes,No,79.25,Mailed check,No,No
Month-to-month,20,Fiber optic,No,No,85.8,Credit card (automatic),Yes,Yes
Month-to-month,4,DSL,No,No,24.45,Electronic check,Yes,Yes
Two year,63,Fiber optic,Yes,Yes,110.1,Credit card (automatic),Yes,No
Month-to-month,3,Fiber optic,No,No,90.7,Mailed check,No,No
Two year,66,No,No internet service,No internet service,25.3,Credit card (automatic),Yes,No
Month-to-month,28,Fiber optic,No,No,105.7,Electronic check,Yes,Yes
Month-to-month,8,Fiber optic,No,No,85.2,Electronic check,No,No
Two year,71,No,No internet service,No internet service,24.35,Mailed check,No,No
Month-to-month,1,DSL,No,No,24.25,Electronic check,Yes,Yes
Two year,72,No,No internet service,No internet service,25.1,Bank transfer (automatic),No,No
Month-to-month,16,DSL,Yes,No,54.55,Bank transfer (automatic),Yes,No
Two year,66,Fiber optic,Yes,Yes,96.6,Mailed check,No,No
Month-to-month,11,Fiber optic,No,No,76.5,Electronic check,Yes,Yes
One year,51,DSL,Yes,Yes,81.15,Credit card (automatic),Yes,No
Month-to-month,8,DSL,Yes,No,38.5,Electronic check,Yes,No
Month-to-month,14,Fiber optic,No,No,92.9,Electronic check,Yes,No
Month-to-month,4,Fiber optic,No,Yes,93.5,Electronic check,Yes,Yes
Two year,70,DSL,Yes,No,84.7,Mailed check,No,No
Two year,70,DSL,Yes,Yes,66.0,Electronic check,No,No
One year,54,Fiber optic,No,No,101.5,Credit card (automatic),Yes,Yes
Month-to-month,28,Fiber optic,Yes,No,74.9,Bank transfer (automatic),Yes,Yes
Two year,24,No,No internet service,No internet service,20.75,Mailed check,No,No
Two year,69,DSL,No,No,61.45,Credit card (automatic),Yes,No
Month-to-month,42,DSL,Yes,No,54.5,Mailed check,No,No
Month-to-month,2,Fiber optic,No,No,69.6,Electronic check,Yes,Yes
Month-to-month,39,Fiber optic,No,No,99.75,Electronic check,Yes,No
Two year,45,Fiber optic,No,Yes,109.75,Bank transfer (automatic),Yes,No
Two year,72,DSL,Yes,Yes,80.85,Bank transfer (automatic),Yes,No
Two year,38,No,No internet service,No internet service,20.3,Mailed check,No,No
Two year,72,DSL,Yes,Yes,67.8,Bank transfer (automatic),Yes,No
Month-to-month,1,No,No internet service,No internet service,24.05,Mailed check,Yes,Yes
Two year,72,No,No internet service,No internet service,19.8,Credit card (automatic),Yes,No
Two year,55,No,No internet service,No internet service,25.7,Bank transfer (automatic),No,No
One year,51,DSL,No,Yes,56.15,Electronic check,Yes,No
Two year,63,DSL,Yes,Yes,86.7,Bank transfer (automatic),Yes,No
Month-to-month,1,No,No internet service,No internet service,20.4,Mailed check,No,No
Two year,23,No,No internet service,No internet service,19.65,Mailed check,Yes,No
Month-to-month,1,DSL,No,No,50.55,Electronic check,No,Yes
Month-to-month,2,DSL,No,Yes,54.35,Mailed check,Yes,No
Month-to-month,52,Fiber optic,Yes,No,108.1,Credit card (automatic),No,No
One year,36,DSL,Yes,No,54.45,Mailed check,No,No
Month-to-month,1,DSL,No,No,45.35,Mailed check,No,No
One year,28,DSL,Yes,No,59.0,Mailed check,No,No
One year,7,DSL,Yes,No,69.45,Electronic check,No,No
Month-to-month,14,Fiber optic,No,No,100.55,Electronic check,Yes,Yes
Two year,72,DSL,Yes,Yes,64.95,Credit card (automatic),Yes,No
Month-to-month,1,No,No internet service,No internet service,20.5,Mailed check,Yes,Yes
Month-to-month,10,No,No internet service,No internet service,18.85,Mailed check,No,No
One year,42,No,No internet service,No internet service,19.8,Bank transfer (automatic),No,No
Month-to-month,7,DSL,No,No,25.05,Bank transfer (automatic),No,No
Month-to-month,4,Fiber optic,No,No,74.8,Bank transfer (automatic),Yes,Yes
Two year,72,Fiber optic,Yes,Yes,114.3,Credit card (automatic),Yes,No
Month-to-month,20,DSL,No,No,24.45,Electronic check,Yes,Yes
Two year,63,Fiber optic,Yes,Yes,109.2,Credit card (automatic),No,No
Two year,56,DSL,Yes,Yes,45.05,Bank transfer (automatic),No,No
Month-to-month,5,DSL,No,Yes,51.0,Mailed check,Yes,No
Two year,72,Fiber optic,No,Yes,110.45,Bank transfer (automatic),Yes,No
Month-to-month,68,Fiber optic,No,No,84.65,Electronic check,Yes,No
One year,67,DSL,Yes,Yes,60.05,Mailed check,No,No
Month-to-month,8,DSL,No,No,44.65,Bank transfer (automatic),No,No
Month-to-month,52,Fiber optic,No,Yes,93.25,Bank transfer (automatic),Yes,No
Month-to-month,18,No,No internet service,No internet service,20.25,Mailed check,Yes,No
Two year,59,No,No internet service,No internet service,25.45,Mailed check,No,No
Two year,60,No,No internet service,No internet service,20.6,Mailed check,No,No
Month-to-month,7,Fiber optic,No,No,94.1,Electronic check,Yes,No
One year,59,DSL,Yes,No,34.8,Mailed check,No,No
Two year,46,DSL,Yes,Yes,60.75,Bank transfer (automatic),Yes,No
Month-to-month,5,DSL,No,No,51.35,Electronic check,Yes,No
Two year,59,DSL,Yes,Yes,64.05,Credit card (automatic),Yes,No
Two year,70,DSL,No,Yes,84.8,Bank transfer (automatic),Yes,No
Month-to-month,14,Fiber optic,No,No,71.0,Credit card (automatic),Yes,Yes
Month-to-month,44,DSL,No,No,50.15,Mailed check,Yes,No
Two year,64,Fiber optic,Yes,No,94.6,Credit card (automatic),Yes,No
Two year,58,DSL,Yes,Yes,59.75,Mailed check,No,No
One year,46,Fiber optic,No,Yes,100.25,Electronic check,No,No
Month-to-month,58,Fiber optic,No,No,98.9,Electronic check,Yes,No
Two year,72,Fiber optic,No,No,97.7,Credit card (automatic),Yes,No
Month-to-month,30,DSL,No,No,40.3,Electronic check,Yes,Yes
Month-to-month,11,DSL,Yes,No,60.25,Bank transfer (automatic),No,No
Month-to-month,34,DSL,No,No,56.25,Electronic check,Yes,No
Two year,54,DSL,Yes,No,46.2,Bank transfer (automatic),No,No
Month-to-month,3,DSL,No,No,50.6,Electronic check,Yes,Yes
Two year,72,No,No internet service,No internet service,24.9,Mailed check,No,No
Month-to-month,40,Fiber optic,No,Yes,84.85,Electronic check,Yes,Yes
Month-to-month,2,DSL,No,No,65.7,Mailed check,No,Yes
Two year,54,DSL,No,No,63.35,Credit card (automatic),No,No
Month-to-month,14,DSL,Yes,No,50.1,Bank transfer (automatic),No,No
Month-to-month,1,Fiber optic,No,No,70.5,Electronic check,No,Yes
Month-to-month,10,Fiber optic,No,No,94.85,Electronic check,Yes,Yes
Month-to-month,1,DSL,Yes,No,50.15,Electronic check,No,No
Month-to-month,1,No,No internet service,No internet service,19.75,Mailed check,No,Yes
One year,56,DSL,Yes,Yes,64.65,Bank transfer (automatic),Yes,No
Two year,68,DSL,Yes,Yes,79.6,Bank transfer (automatic),Yes,No
One year,14,No,No internet service,No internet service,19.5,Mailed check,Yes,No
Two year,68,Fiber optic,Yes,Yes,99.55,Electronic check,Yes,No
Month-to-month,55,Fiber optic,No,No,74.0,Electronic check,Yes,No
Month-to-month,16,DSL,Yes,No,38.9,Electronic check,Yes,No
Month-to-month,9,Fiber optic,No,No,79.55,Electronic check,Yes,No
Month-to-month,14,DSL,Yes,No,65.45,Electronic check,Yes,Yes
Month-to-month,58,Fiber optic,No,No,98.7,Electronic check,Yes,Yes
Month-to-month,53,DSL,Yes,No,46.3,Bank transfer (automatic),Yes,No
Two year,70,Fiber optic,Yes,No,99.35,Credit card (automatic),Yes,No
Month-to-month,14,Fiber optic,No,No,95.8,Electronic check,Yes,No
One year,22,DSL,Yes,Yes,67.5,Bank transfer (automatic),Yes,Yes
Month-to-month,10,Fiber optic,Yes,No,78.15,Credit card (automatic),Yes,No
Two year,29,No,No internet service,No internet service,26.1,Mailed check,No,No
Month-to-month,1,Fiber optic,No,No,69.6,Electronic check,Yes,Yes
One year,49,DSL,Yes,Yes,84.35,Electronic check,No,Yes
Month-to-month,68,Fiber optic,No,No,100.2,Electronic check,Yes,Yes
Month-to-month,1,Fiber optic,No,No,78.05,Electronic check,No,Yes
One year,30,DSL,No,Yes,40.35,Credit card (automatic),Yes,No
Two year,72,DSL,Yes,Yes,79.2,Credit card (automatic),No,No
Month-to-month,10,No,No internet service,No internet service,20.9,Mailed check,Yes,No
Month-to-month,7,Fiber optic,No,No,73.6,Electronic check,No,Yes
Month-to-month,9,Fiber optic,No,No,74.75,Electronic check,Yes,Yes
Month-to-month,1,DSL,Yes,No,49.9,Mailed check,No,No
Month-to-month,20,DSL,No,Yes,68.9,Credit card (automatic),Yes,No
Month-to-month,1,No,No internet service,No internet service,20.25,Mailed check,Yes,No
Month-to-month,29,Fiber optic,No,No,76.0,Credit card (automatic),Yes,No
Month-to-month,1,Fiber optic,No,Yes,74.0,Electronic check,No,No
Month-to-month,3,Fiber optic,Yes,Yes,82.3,Mailed check,Yes,No
Month-to-month,20,Fiber optic,Yes,No,89.4,Bank transfer (automatic),Yes,No
Month-to-month,64,Fiber optic,No,Yes,99.15,Credit card (automatic),Yes,No
Month-to-month,1,No,No internet service,No internet service,20.2,Mailed check,Yes,Yes
Month-to-month,6,DSL,Yes,No,29.45,Bank transfer (automatic),No,No
Two year,50,No,No internet service,No internet service,19.8,Electronic check,No,No
Month-to-month,6,DSL,Yes,No,59.15,Bank transfer (automatic),Yes,No
Month-to-month,7,DSL,No,No,44.75,Electronic check,No,No
Two year,72,Fiber optic,No,No,90.8,Credit card (automatic),Yes,No
Month-to-month,8,DSL,No,No,49.55,Bank transfer (automatic),Yes,No
Two year,67,Fiber optic,Yes,Yes,106.7,Credit card (automatic),No,No
Month-to-month,24,Fiber optic,No,No,93.55,Electronic check,Yes,Yes
Two year,72,Fiber optic,Yes,No,94.45,Credit card (automatic),Yes,No
One year,33,No,No internet service,No internet service,19.45,Bank transfer (automatic),Yes,No
Month-to-month,2,DSL,No,No,25.05,Electronic check,Yes,Yes
Two year,70,DSL,Yes,Yes,67.95,Mailed check,No,No
One year,22,DSL,No,No,65.25,Bank transfer (automatic),No,No
Month-to-month,59,Fiber optic,Yes,No,99.45,Bank transfer (automatic),Yes,No
One year,36,No,No internet service,No internet service,20.35,Credit card (automatic),Yes,No
Two year,51,No,No internet service,No internet service,19.95,Mailed check,No,No
One year,53,DSL,Yes,Yes,77.4,Bank transfer (automatic),No,No
One year,20,No,No internet service,No internet service,19.7,Bank transfer (automatic),No,No
Two year,63,Fiber optic,Yes,No,99.7,Credit card (automatic),No,No
Month-to-month,40,Fiber optic,No,No,74.8,Credit card (automatic),No,No
One year,35,No,No internet service,No internet service,19.15,Mailed check,Yes,No
One year,26,Fiber optic,No,No,78.95,Bank transfer (automatic),No,No
Month-to-month,27,Fiber optic,No,No,95.55,Electronic check,Yes,Yes
One year,53,DSL,Yes,Yes,62.85,Credit card (automatic),No,No
Month-to-month,34,Fiber optic,No,No,71.55,Credit card (automatic),No,No
Month-to-month,19,Fiber optic,No,No,94.95,Electronic check,Yes,No
Month-to-month,43,Fiber optic,Yes,No,86.1,Credit card (automatic),Yes,No
Month-to-month,6,No,No internet service,No internet service,19.55,Mailed check,No,No
Two year,56,No,No internet service,No internet service,24.8,Mailed check,Yes,No
Month-to-month,57,DSL,No,No,39.3,Electronic check,Yes,Yes
Month-to-month,34,Fiber optic,No,No,84.05,Mailed check,Yes,No
Month-to-month,10,DSL,No,Yes,36.25,Electronic check,No,No
Month-to-month,1,No,No internet service,No internet service,20.25,Mailed check,Yes,Yes
Month-to-month,13,DSL,No,No,23.9,Electronic check,Yes,Yes
Month-to-month,56,Fiber optic,No,No,98.6,Electronic check,No,No
Month-to-month,55,Fiber optic,No,No,103.65,Credit card (automatic),Yes,No
Two year,36,DSL,Yes,Yes,92.9,Credit card (automatic),Yes,No
One year,47,No,No internet service,No internet service,19.9,Bank transfer (automatic),No,No
Month-to-month,12,No,No internet service,No internet service,20.1,Credit card (automatic),Yes,No
Month-to-month,1,Fiber optic,No,No,85.45,Electronic check,Yes,Yes
Month-to-month,24,Fiber optic,No,No,80.5,Electronic check,Yes,No
One year,63,Fiber optic,No,No,99.9,Bank transfer (automatic),No,Yes
Month-to-month,35,DSL,No,No,39.85,Electronic check,Yes,No
One year,67,DSL,Yes,Yes,60.5,Credit card (automatic),No,No
Month-to-month,25,Fiber optic,No,No,84.8,Electronic check,Yes,Yes
Month-to-month,21,Fiber optic,Yes,No,103.85,Mailed check,No,No
Month-to-month,13,DSL,Yes,Yes,67.8,Bank transfer (automatic),No,No
Month-to-month,35,Fiber optic,No,No,75.2,Electronic check,Yes,Yes
Two year,71,No,No internet service,No internet service,24.85,Bank transfer (automatic),No,No
Month-to-month,29,No,No internet service,No internet service,19.35,Credit card (automatic),No,No
Two year,71,DSL,No,No,49.35,Electronic check,No,Yes
Month-to-month,7,Fiber optic,No,No,89.0,Electronic check,Yes,No
Month-to-month,57,DSL,No,No,55.0,Electronic check,Yes,No
Two year,65,DSL,Yes,Yes,76.15,Bank transfer (automatic),No,No
One year,27,No,No internet service,No internet service,20.3,Mailed check,No,No
Month-to-month,6,Fiber optic,No,No,74.9,Electronic check,Yes,Yes
Two year,72,Fiber optic,Yes,Yes,117.35,Credit card (automatic),Yes,No
Month-to-month,1,No,No internet service,No internet service,19.75,Mailed check,Yes,No
Month-to-month,11,DSL,No,No,45.2,Credit card (automatic),No,No
Two year,39,No,No internet service,No internet service,25.2,Mailed check,No,No
Month-to-month,59,Fiber optic,Yes,No,89.75,Electronic check,Yes,No
One year,26,DSL,Yes,Yes,75.0,Bank transfer (automatic),No,No
Month-to-month,2,DSL,No,No,49.95,Mailed check,No,No
Two year,72,DSL,Yes,Yes,65.7,Bank transfer (automatic),No,No
One year,65,DSL,Yes,No,67.05,Credit card (automatic),No,No
Two year,72,Fiber optic,No,Yes,110.9,Credit card (automatic),No,No
Month-to-month,6,Fiber optic,No,Yes,87.95,Bank transfer (automatic),Yes,No
One year,32,No,No internet service,No internet service,19.8,Credit card (automatic),No,No
One year,50,DSL,No,No,75.7,Bank transfer (automatic),No,No
Two year,61,DSL,Yes,Yes,62.15,Mailed check,Yes,No
Month-to-month,15,Fiber optic,No,No,101.25,Electronic check,Yes,Yes
Two year,72,Fiber optic,Yes,Yes,115.15,Bank transfer (automatic),No,No
Month-to-month,9,No,No internet service,No internet service,18.95,Mailed check,Yes,Yes
Month-to-month,1,No,No internet service,No internet service,19.5,Mailed check,No,No
Month-to-month,12,Fiber optic,No,No,86.55,Electronic check,Yes,No
Month-to-month,37,DSL,No,Yes,28.6,Credit card (automatic),No,Yes
One year,61,No,No internet service,No internet service,20.4,Mailed check,No,No
One year,18,No,No internet service,No internet service,19.8,Bank transfer (automatic),No,No
Month-to-month,21,DSL,No,No,45.65,Mailed check,No,No
Two year,68,DSL,Yes,Yes,56.4,Mailed check,Yes,No
Month-to-month,12,Fiber optic,No,No,73.3,Credit card (automatic),Yes,No
Month-to-month,2,DSL,No,No,24.35,Electronic check,No,Yes
Month-to-month,62,Fiber optic,No,No,101.35,Electronic check,Yes,No
Month-to-month,29,Fiber optic,No,Yes,98.65,Electronic check,No,Yes
Month-to-month,1,DSL,No,Yes,33.6,Mailed check,No,No
Month-to-month,5,Fiber optic,No,No,79.9,Bank transfer (automatic),Yes,Yes
Month-to-month,1,No,No internet service,No internet service,20.7,Electronic check,No,No
Two year,62,Fiber optic,No,Yes,104.05,Electronic check,Yes,No
Two year,36,No,No internet service,No internet service,20.25,Bank transfer (automatic),No,No
Month-to-month,28,Fiber optic,No,Yes,103.3,Electronic check,Yes,Yes
One year,69,DSL,Yes,Yes,73.7,Credit card (automatic),No,No
Month-to-month,11,Fiber optic,Yes,Yes,96.2,Credit card (automatic),Yes,Yes
Month-to-month,63,Fiber optic,No,Yes,108.75,Electronic check,Yes,No
One year,23,No,No internet service,No internet service,20.15,Bank transfer (automatic),No,No
Month-to-month,10,No,No internet service,No internet service,19.75,Credit card (automatic),No,No
Two year,71,No,No internet service,No internet service,25.95,Credit card (automatic),Yes,No
Month-to-month,45,DSL,Yes,Yes,70.05,Electronic check,Yes,No
Two year,70,No,No internet service,No internet service,24.05,Mailed check,No,No
Month-to-month,22,Fiber optic,No,No,84.75,Electronic check,Yes,No
Two year,52,No,No internet service,No internet service,23.05,Mailed check,No,No
One year,55,Fiber optic,No,Yes,104.15,Electronic check,Yes,Yes
Two year,65,DSL,Yes,Yes,59.95,Credit card (automatic),No,No
Two year,72,No,No internet service,No internet service,19.55,Bank transfer (automatic),No,No
One year,10,No,No internet service,No internet service,19.6,Bank transfer (automatic),No,No
One year,7,No,No internet service,No internet service,20.05,Mailed check,No,No
Month-to-month,5,Fiber optic,No,No,85.55,Electronic check,Yes,No
Two year,24,DSL,Yes,No,78.6,Credit card (automatic),No,No
Two year,72,Fiber optic,Yes,Yes,116.8,Credit card (automatic),Yes,No
Month-to-month,21,DSL,Yes,Yes,43.55,Mailed check,Yes,No
One year,69,DSL,No,Yes,60.8,Credit card (automatic),Yes,No
Month-to-month,44,DSL,No,Yes,54.9,Bank transfer (automatic),Yes,No
